G1,G2,G3,studytime,failures,learning_gaps
7,10,10,1,0,['M10GE-IIa-1']
7,8,7,2,2,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
12,13,14,2,0,[]
11,12,13,1,0,[]
12,13,14,2,0,[]
18,18,18,2,0,[]
17,17,17,1,0,[]
17,18,18,2,0,[]
9,0,0,2,1,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
10,11,11,1,0,['M10GE-IIa-1']
12,13,14,1,0,[]
12,13,14,1,0,[]
8,8,10,2,0,['M10GE-IIa-1']
11,12,13,3,0,[]
5,0,0,2,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
9,10,10,2,1,['M10GE-IIa-1']
5,0,0,1,1,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
18,18,18,4,0,[]
11,11,12,2,0,[]
8,10,11,2,0,['M10GE-IIa-1']
11,11,12,2,0,[]
8,0,0,2,3,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
14,14,15,3,0,[]
10,11,11,2,1,['M10GE-IIa-1']
10,10,10,2,0,['M10GE-IIa-1']
12,12,12,2,0,[]
15,14,15,2,0,[]
14,13,14,1,0,[]
19,17,18,3,0,[]
16,15,15,2,0,[]
13,12,13,2,0,[]
15,14,15,2,0,[]
13,13,13,2,0,[]
8,10,9,2,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
15,16,16,3,0,[]
8,8,9,1,1,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
10,10,10,1,0,['M10GE-IIa-1']
7,5,0,2,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
9,10,10,1,0,['M10GE-IIa-1']
10,11,12,3,0,[]
7,8,9,1,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
15,17,17,3,0,[]
10,11,12,3,0,[]
7,8,9,2,1,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
13,14,14,2,0,[]
16,16,16,2,0,[]
8,9,9,2,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
17,18,19,2,0,[]
7,7,0,1,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
14,15,16,2,0,[]
5,8,0,1,1,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
7,7,0,1,1,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
14,17,15,3,0,[]
6,9,11,2,0,['M10GE-IIa-1']
7,9,10,1,0,['M10GE-IIa-1']
10,11,10,3,1,['M10GE-IIa-1']
15,15,16,2,0,[]
11,12,9,2,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
10,10,10,1,0,['M10GE-IIa-1']
10,11,11,1,0,['M10GE-IIa-1']
